instagram_comments,offensive_language
Tira esse ameba do Wellington Dias daí. Governador vira casaca,1
Nojento!,1
"Queridos irmãos brasileiros, ninguém vai embora da Argentina porque a esperança está voltando para o meu país. Não é a esquerda que volta, é a esperança! E se fosse a esquerda seria muito melhor do que estamos vivendo agora! 4 anos de Macri já foram suficientes.",0
Globo lixo inimiga do Brasil,1
Para de da ibope pra essa figura,1
Que bom que eles está bem! Já quero ver esse panelaço💚,0
Cara nojento,1
Maioria dos Brasileiros que estão nos presídios do País! 👉LULALADRAO É O MANDANTE DA TORTURA E ASSASSINATO DO CELSO DANIEL. CABULOSO!,1
"Para de progudicar o governo parem de botar leinha na fogueira, so demora afala mas quando falam sai fais por todo lado !!!",0
Exatamente,0
"A Ministra é especial , mulher de Deus !!! Tudo que é dr Deus o demônio odeia ! As pessoas que te atacam são instrumentos do demônio pra te atacar !! Descansa no Senhor 🙏",1
"Ele,faz isso por que ele nunca trabalhou",0
"Essa besta humana é o câncer do País, tem q voltar p jaula, urgentemente! E viva o Presidente Bolsonaro 🇧🇷😎🙏",1
Parabéns Professor!!,0
Pirralha mimada patrocinada por esquerdopatia inescrupulosos que ficaram milionários as custas de idiotas úteis. O presidente da República tem razão,1
"PARABÉNS PARA O JORNALISMO SERIO, PARAB3NS AL3XANDRE GARCIA!! !PARABÉNS BRASIL!🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷👏🇧🇷👏👏🇧🇷👏🇧🇷🤲🇧🇷🤲🇧🇷🤲🇧🇷🔰🌻🌷🌻🌷🌻👍👍🇧🇷👏🇧🇷👏🇧🇷👏🇧🇷",0
É só O que falta,0
Falam mais da conta.. quiz dizer....,0
"#GloboSempreLixo tinha que ser a primeira, junto com o PT",1
"Sabe, vc é perfeito",0
Não tem o que discutir!! Lindíssima! E que discurso!! 👏,0
"O mercado sempre reage a essas movimentações políticas, no caso procurem sobre a queda da bolsa Argentina e a taxa de juros.",0
"Esse congresso é uma Vergonha Nacional, salvo belíssimas excessoes! 😢😢😢",1
"Essa megera vulgo joice, foi a maior decepçao que tivemos,se elegeu ela e mais de 200 deputados, senadores, governadores, graças ao Bolsonaro.Eu defendia ela em tudo,graças a DEUS,ele revelou quem é essa oportunista, esmoleira de votos ,nossa empregadinha subserviente é. É piada ela querer concorrer a presidencia da republica kkkkkk,com o Bolsomito ou quem ele indicar .",1
Deputada para com isso admiro seu trabalho mas essa menina tem q parar com isso muita pessoas dando moral a essa garota q se faz de Santa acho q vc esta ao lado dela ... Sou fã da senhora mas não juga o presidente não,1
👏👏👏esse é o Presidente que o Brasil precisa!!!,0
Nosso presidente,0
Espírito de porco. Quanto pior melhor para eles...,1
"Me solidarizo com a senhora ministra, esse ser que escreveu é completamente desprovido de ética, decência, indoli, moral, um lixo da sociedade e traz consigo a educação que recebeu da própria progenitora.",1
Oh lindeza da vida 😍😍😍😍,0
Mais maturidade que muita gente GRANDE.,0
Não tem jeito pra essa gentalha da Globosta!,1
Meu presidente!!!,0
"Se esse canalha quer luta, que venha lutar pra ver se nós somos o povo passivo do Chile e da Argentina... Ele verá quero verdadeiro filho do Brasil não foge a luta! Tenho nojo até de ver imagens dele. Vagabundo. Ladrão!",1
"Boa noite meu deputado , verifica por gentileza o fundo de contratação para imóveis minha casa minha vida da caixa , pois está sem verba já faz um mês .. todos os construtores e corretores estamos sofrendo muito com essa situação!!",0
Tem mtas outras pessoas q realmente merecem destaque!!! menos essa tal de Greta🙄,1
Vagabundos como esse que o Brasil não precisa,1
Boa pergunta!!!,0
É um babacaaaaaa,1
Meu presidente e meu governador ❤,0
Vergonhoso.,1
Tá uma bagaceira esse país de merda🤮🤮🤮🤮🤮,1
"pois é, né? O dinheiro da OAS fez com que ela esquecesse de ter pena do Brasil. Muito cínica.",1
O povo precisa acorda!,0
"Pra quem é de mercado e conhece o tamanho do desastre que pode acontecer caso Macri não vença as eleições sabe o porquê do massacre com a moeda argentina hoje, o mundo não tolera fracassados, não tolera esquerdistas bandidos!!! Deus salve a Argentina! Hoje foi um recado do planeta terra para ela!",1
Esse é fera presidente!,0
Parabéns professor! Você merece muito mais.💜💜💜,0
Dois derrotados,1
Vc merece isso e muito mais!!!❤️,0
Lula livre.,0
"Precisamos aumentar os colégios militares para outros Estados e cidades , melhor educação e civismo",0
Sobra para o pobre foda se,1
Mostro sempre Benedita falando para minhas filhas branquinhas... quero beneditas ao meu redor!!!! Fora racistas.!!!!,0
Fazer um video denunciando essa fakenews seria mais util. Esse post confunde os leitores. Afinal derrubaram ou não?,0
"Da esquerda não se aproveita nada, seja ela de qualquer país!",1
"Só merda,não serve nem para engraxar botina presidente!!!",1
Excelente!,0
"Iremos fazer nossa parte, trabalho que não pode faltar.ok",0
Lula tá preso babacas!,1
🤣🤣🤣🤣🤣🤣ridícula,1
"Onde chegamos, sonho o dia de ver esse M fora de Brasília",0
revoltante.... asqueroso! @aleflamenco,1
parabéns pela conquista 👏👏 você merece querido por todos 💖,0
Glória a Deus 👏👏👏👏👏👏👏,0
Parabéns sr Presidente e sr Ministros,0
@bolsonarosp como eu queria que na minha cidade tivesse escola militar...,0
Filme de terror verídico.,0
ENTREVISTA PERFEITA,0
Mais fácil ser ao contrário,0
Seu ódio só esta fazendo você fazer besteira 👎👎👎👎👎,0
Nosso presidente tem toda razão pois essa pirralha é uma farsa a la Al Gore.......só os ignorantes que não percebem......🇧🇷🇧🇷🇧🇷🇧🇷,1
É de amargar!,0
"Esse otario merece uma corretiva,,,vamos ver se é homem,, assim como é na língua,,, dá uma sova nele com um chicote de umbigo de boi até ficar mole no chão para aprender a respeitar as pessoas,,,, não vpide comparar as oessiasy como se fosse da família dele!",1
"Desanimador, está difícil acreditar num Brasil melhor😭😭😭",0
Ótimo 👏🏽👏🏽👏🏽,0
Terrorista FDP,1
Imprensa imunda 🤦🏻‍♀️,1
Eduardo é o cara 👏👏👏👏👏👏👏👏👏👏 Parabéns va em frente 👏👏👏👏👏👏 nos confiamos em você no seu potencial 🇧🇷🇧🇷🇧🇷🇧🇷,0
Esse Lixo humano vai se arrepender 🤬,1
Não ficarão impunes a mão de Deus pesará sobre eles!,0
Lula livre ja,0
"Lulaladrão NAO me impressiona, mas esses HaddadS todos com conhecimento e estudo ouvir essas boboseiras e apoiar é de dar nojo!!! 🤑",1
"👏👏 não é mas novidade essas frases , entretanto não podemos desistir....resistência, persistência....🙌",0
Nojo dessa corja,1
"Monstro, mercenário. Cadê os investimentos na saúde e educação q é direito do povo, onde enfia tanto dinheiro?",1
"Mas se o Bolsonaro vetou só algumas medidas, ele pediu para o congresso Nacional fazer isso, foi ingenuidade ou proposital, deveria ter vetado a lei...",0
Parabéns,0
Muito bom acompanhado!,0
"É surreal uma coisa dessa, que bosta de justiça é essa que nada faz contra esse pilantra?",1
Ridículo,1
Que massa! 🤘🏻,0
"INVESTIDORES NÃO SE IMPORTAM COM PIRRALHAS, INVESTIDORES SE IMPORTAM COM UM PAIS QUE LUTA CONTRA CORRUPÇÃO E PRENDE SEUS CRIMINOSOS...A MENOS QUE ESSES INVESTIDORES SEJAM DE ESQUERDA...AÍ ELES AINDA VEM PARA CÁ, NO MÍNIMO A ESPERA DE UMA APROVAÇÃO PARA CULTIVO DA CANABIS..",1
Essa culpa eu n carrego 😄😄😄,0
À Vitória Cristina!! Respira Argentina.,0
Tu manuela é um resumo de tudo que não presta nesse mundo! Você presta um desserviço à sociedade brasileira. Pegue suas coisinhas é saia de mansinho. #avantebrasil,1
Real foi a 16 e dólar a 65 hj dale macri burro para caralho!😅😅,1
"Luladrao incentivando a violência,absurdo em sortear esse lixo",1
Esse nogento,1
Inútil ambos,1
Super concordo,0
Amo você! Meu Presidente! ❤️,0
Realmente handrade kkk lembro do slogan da campanha Lula é Haddad Haddad é Lula hahhahaha os dois condenados.,1
Pq ele veio para roubar matar e destruir!,1
Professô!,0
Essa é a Quadrilha Satanica q está no Congresso Brasileiro. Pior foi quem votou nessa Gangue . Todos têm q perder seus Mandatos por Crime de Lesa Pátria!!!,1
Festival de maconha!,0
duas fotos as mesmas merdas,1
Alá mais um inocente injustiçado...,0
Lindoooo,0
Quanto nojo🤮,1
#globolixo #globosta,1
Vc é motivo de piada na grande mídia...se não fosse seu pai quem seria vc??? Ainda bem q só votei no seu pai...sou Brasil acima de tudo...sou verde e amarelo com muito orgulho... agora não tem como aceitar calado o q e sua galera quer fazer no Brasil,1
Nossa ela falou tudo que nós queríamos 👏,0
Bem feito kkkkk Parabéns para vocês que elegeram éssa desgraça. 😠😠😠😠😠,1
👏👏👏👏👏👏👏 força Damares.,0
Uma entojada. How dare you!,1
Tamu juntas Damares. Tu é forte 🙌,0
"Um jornalista australiano deu a seguinte resposta, em relação à intenção de alguns estudantes de fazerem greve pelo clima:",0
👏👏👏lindo,0
@bolsonarosp o câncer do noblat sempre fala no blog dele tic tac sobre a chata da Marielle !envolvendo vocês,1
"Esse Feliciano é um vagabundo e charlatão que fica falando e fazendo coisas usando o nome de Deus, se dizendo cristão, tenho é pena dos que elegeram um bosta desse que não acrescenta em nada à Câmara dos deputados.",1
Concordo com a Dra Janaína,0
🤣🤣🤣lixinho da globolixo!!,1
Olha ai a hipocrisia dessa mulher,1
Parabéns ministro,0
"Isso é um otario, zé ruela , só ele que dar trabalho ao governo do pai dele, esse bosta , e tu joice faz o teu e esquece ele",1
É um gagá... só fala asneira!,1
"Esse moço tem que manter sua boca fechada,fala desnecessariamente",0
Mal feitores vão queimar no zinfa dos infernos 😈raças de viboras,1
Ela estava emocionada,0
#racisnoécrime,0
#lulalivre❤️🙏,0
Chamar um vagabundo desses dd Horn,1
"Intervenção militar no STF!!!!! Urgente!!! Presidente precisa caçar esses canalhas traidores da Pátria, não há outro jeito... Senão essas escórias não vão aprender que existe justiça de verdade e eles estão sujeitos à ela.",1
Deveria tocar o coração destes governantes malditos,1
Sem comentários pra essa Dona.... Fora pig!!!,1
"Estamos contigo, ministra Damares! 🙏🏼💚💛",0
Boa.,0
"Galera, primeiro que não é a Joice que comenta, é a assessoria dela. Duvido que ela tenha tempo pra isso. Segundo, a pirralha é altista e, tanto pais quanto militantes estão se aproveitando dela. Detalhe: ela mora num país que é o primeiro em IDH. Vocês acham mesmo que ela conhece a Amazônia? Só falta ela falar em defesa das tanajuras com câncer. Ela não representa nada, mas a revista, com seu viz, pelo jeito quer o prêmio.",0
Chega de favorecer esses bandidos.,1
"Covarde, inútil .. Lixo parlamentar",1
"vcs não estão valendo mais nada ,o presidente está sem valor algum .",1
Essa pirralha fala muito e não faz nada.... Só quer aparecer,1
Tenho é medo desse povo de bem...,0
Que consciência tem essa garota!,0
Esse ser deve voltar para a cadeia por incitar a violência. Ele é toda cambada dele,1
Se jogar um carteira de trabalho não sobra um,1
Condenado kkkkkkkkk 2 de cana,1
Bravoooooo👏👏👏👏,0
Pois é.... A pena dela é exatamente pq não vai mais receber propina,1
Porque sera que ela diz ter pena? Se analisar bem isso pode ser visto como uma ameaça.,0
Sem surpresa ... vinda dos ratos,1
Só sabem mentir. Faz um tempão que não assisto.,1
"👏👏👏🙏🙏 Mais uma condenação para este bêbado, corrupto, ladrão!!! E o Toffoli e sua gangue ,com cara de pau,tentando livrar a cara do imundo!!🇧🇷",1
Vc é o cara,0
Respeitem aqueles que saem todos os dias de casa pra nos defender. Respeitem a policia brasileira.,0
Pilantra,1
Parabéns deputada a luta contra todo tipo de preconceito é válido e contante pessoas como esse deputado tem muitos travestidos de democrata e não racista e muito menos preconceituoso,0
Representou. Como sempre!,0
"e ninguém faz nada com esse crápula, estou indignada!",1
"Tantas coisas importantes para resolver e ficam dando ênfase para uma menina, que francamente, não me diz NADA!!!!!",0
Nojo 🙈🙉🙊sempre assim,1
"Num país sério esse decrépito seria preso, aqui é amigo do presidente e da elite evangélica.",1
Podre. Só lembro daquele bandido que falava pro repórter : morre! Diabo!,1
É incrível que cada palavra que ele diz é carregada de ódio ou preconceito. Em que momento isso virou aceitável??? Dormi nessa hora?,0
😂😂😂😂😂😂😂😂😂😂toma pepa,1
"👏👏👏👏👏👏👏essa mulher é uma grande guerreira, que Deus te livre e te guarde dona Benedita 👏👏👏👏👏😍😍",0
"O que ele fala sempre tem interpretações diferentes ,pelo amor que o povo tem pelo pai ,deveria mesmo ficar. Calado ,e falar o mínimo possível .",0
Muito inteligente!👏👏,0
"Deixa, o povo da esquerda vai ter que ir todo pra cadeia nas eleições",1
"Tenho nojo desse Joice nunca gostei sempre tinha algo dizendo que não era uma boa pessoa , tá aí essa víbora de 💩",1
"Olha a cara desse lula gente , acho que só pela cara de safado deveria ficar preso",1
"Aiii por favor, ela é uma pirralha mesmo....",1
"Somos a maioria, graças a Deus!!! 👏👏👏👏😍😍😍😍",0
Kkkkk tá pouco 🤣🤣🤣,0
Imprensa podre a Ministra Damares é protegida por Deus,1
Prezado meu pai dizia “ das palavras q falo sou escravo das que penso sou rei “! Por favor escreva 2000000vezes pra nunca mais esquecer e não prejudicar mais o nosso Presidente em quem confiamos !,0
Essa me representa 👏👏👏👏👏,0
"Leva ele pra junto do Adélio , está louco kkkkkk",1
Leilane vergonha alheia 🤣🤣🤣🤣,1
"Sustentabilidade, meio ambiente",0
"Estão usando essa menina como escudo. Nada podemos falar ou fazer, pois se trata de uma menina, autista que defende o.meio ambiente. Como ser contra? Quanto preconceito! Não é ela o problema e sim quem está por trás dela.",0
Tão maravilhoso ❤️❤️❤️❤️meu professor preferido,0
Essa coisa esta se achando demais,1
Cala esse bueiro de falar merda sua safada,1
Que nível nojento chegou a imprensa esquerdopata. Tá na hora de descarregar processos em cima desses psicopatas,1
#SOMOSTODOSDAMARES TJM ESSE CARA EU QUE é COLEGA POIS SE ELE FALA COM A SRA OU MELHOR ESCREVE MERECE MUITA PORRADA CADEIA PRA ELE SER ESTRUPADO POR UM MONTE DE CARA LÁ DENTRO,1
Meu futuro presidente.,0
É um animal,1
Até que enfim👍👍👏👏👏👏🇧🇷🇧🇷,0
Cidadão de bem. Um pastor exemplar. (Contém ironia),1
Foi ótimo!,0
O foco até tremeu com tanta beleza 😍,0
Ainda bem que tenho olhos e oportunidade para admirar tanta beleza.,0
dois comediantes na foto,0
Diante das últimas notícias não duvido de mais nada😮,0
Linda! Bem merecido o título de Miss Universo!,0
Quando à esquerda esperneia é porque tem medo do Veneno. AI-5 neles.,1
Concordo!,0
Esta pirralha não sabe nada.Estao fabricando está idiota. Estão desesperados por tudo.B38,1
Estou em SP no congresso de gerontecnologia. Apareça por aqui.,0
"Ah tá com pena?!Diz para ela vim doar alimento e roupas para os asilos,orfanatos e desabrigados ,hospitais que por conta das propinas que receberam esses lugares estão com deficiência de tudo,isso PR não mandar ele para Vênus!!",1
Quero Haddad presidente,0
❤️❤️❤️❤️❤️❤️❤️❤️ quanto amoor numa foto so,0
Esse pastor é um RATO!,1
Merecida 👏👏👏👏,0
"Esse não foi só um concurso de beleza. Este foi um marco na história. Essa mulher precisa ser vista e ser ouvida pq outras milhões como ela precisam se sentir representadas e precisam ser ouvidas tbm. Quando ela fala, fala por muitas. Eu estou muito feliz por ela ter ganho. Que elas saibam a importância que têm para o mundo. 👏🌹💖",0
"Ela teria que ter pena qndo tirou dos hospitais do Brasil,pra continuar defendendo bandidos!!!",1
Você está contra o governo ? Não to entendendo mais seu posicionamento . Essa menina ridícula acusa sem dar soluções . Está sendo financiada por pessoas com muitos interesses. Fica ligada,1
Velho Nojento...,1
"Com um Professor, a história seria outra...",0
Só podiam ser esses pulhas malditos traidores imundos ladrões,1
Meu presidente ! Te admiro tanto❤️❤️❤️,0
Safadona,1
"Muito bem Alexandre, continue a nos representar na imprensa brasileira, porque parte dela não sei que pensa, mas querem a desgraça do Brasil, será porque foi cortado alguns privilégios que tinham? A imprensa que você de privilégios de governos é porque não tem capacidade e nem qualidade. No Brasil a faze cubana, chavista e comunista tá com os dias contados e se Deus quiser vai zerar e estas desgraças, como Lula, José Dirceu, Dilma e seus comparsas vai sumir do mapa igual os dinosauros pré histórico,",1
Bandido,1
"Cara eu fico pensando! Como o brasileiro e burro. Uma menina que nao sei que é, fala do nosso pais do nosso presidente e ainda o próprio brasileiro da pra ela total razao. Eu pergunto? Ser qie ela sabe 1/3 dos nossos problemas sociais?",1
esses caras dão muito é CÚ,1
"Não entendo. Por que não o prenderam imediatamente por incitação à violência? Quanto mais tempo ele passar livre, pior para a Nação!",1
Damaris me representa 🇧🇷,0
"Esse homem é um babaca, esse programa dele já deveria ter saído do ar!",1
👏👏👏👏👏👏PARABÉNS FACHIM,0
Perdi meu voto !!!!,0
"Mas, os mesmos, ainda votaram nesses crápulas!",1
Pirralha,1
"RS me dando orgulho ao menos uma vezinha na vida, porque tá difícil!!! 😔 Parabéns, professor! ❤️",0
Parabéns !!!,0
"Certeza q a esquerda eh doente. Apoio a maduro, Cristina. Só pode ser doença",1
Oh meus amores,0
"Repugnante essa #ImprensaLixo #MidiaLixo 😤😤 isso não pode ficar assim, se trata de um ataque pessoal... a Ministra!",1
"Quanto absurdo, ai isso as feministas de esquerda devem achar bonito",1
"Personalidade do ano deveria ser a primeira Dama Michelle Bolsonaro, que tá fazendo se tudo pra ajudar os menos favorecidos. Não essa Pirralha.",1
"Pra mim conta mais valor ainda, o discurso dela, o seu posicionamento firme e empoderado. Meus parabéns à essa bela (por dentro e por fora) MULHER!!! ❤️",0
Aplausos para está ministra! 👏👏👏,0
Onde vamos parar?,0
"Mentira isso... Larga a mão de serem safados e Vagabundos, vocês que criaram muita coisa agora estão com graça....",1
Assisti duas vezes pra vê-la passar vergonha!!! 😂😂😂😂😂😂👏👏👏👏👏👏👏👏👏👏,1
Ô dupla!,0
"Maior traidora que já vi, depois do ladrão.",1
Meu filho estuda no CMB!! O melhor colégio com o melhor ensino de Brasília!!!,0
🤣🤣🤣🤣 Aham. Senta lá claudia. O molusco ta livre mas vive numa prisão. Não pode sair em público. Não pode ir num restaurante. Nao pode pegar um avião com o povão... Tá mais legal assim mesmo. Tá sofrendo na pela a prisão mental que ele se enfiou.,1
Este criminoso tem que voltar prisão 😱😱,1
"Carla, seja maior do que isso, por favor. Já está ficando ridículo. Comparação exdrúxula! O Brasil tem coisas mais importantes pra serem debatidas.",1
Vão queimar no inferno!,1
Nojento,1
Esse Lula é retardado,1
Esquerdista ordinária e safada,1
"Também sou contra, mas.. que mulher linda!",0
#midialuxo nojo dessa imprensa nacional,1
Aguardando ansiosamente.,0
O sul ja ta um lixo com o fascista do eduardo leite,1
Você faz trabalho de verdadeiro patriota ...por isso sempre achei seu lugar no Brasil 🇧🇷🇧🇷🇧🇷,0
Acabei de assitir essa merda de entrevista que vc deu seu bostinha vc fala em Ai5 ? Falta homem pra fazer isso ta pra nascer quem vai fazer isso. Vc e um fdp idiota so fala merda seu arrombado,1
Amei ver está idiota passando ver co há ficou até sempre rumo🤪,1
Greve contra os anunciantes da Globo! Sem isso esses posts não vão adiantar quase nada,0
Engraçado @manueladavila quando sua cara apareceu no fantástico você sumiu e bloqueou os comentários nas suas redes sociais. Você é manipuladora!,1
Esse bandido tem que voltar é pra cadeia😡😠,1
Já estou levantado capeta,1
Quando teremos a apresentação integral com som ?,0
"Pena das pessoas que tem um falso profeta deste como líder religioso bora ali atacar alguém nome de Jesus, amém?",1
Saudades do que a gente não viveu...,0
Absurdo!!! Nojo desse babão tarado.,1
"Nós e o mundo todo sabe que essa moça não era a mais bonita. O concurso de miss universo há muito tempo se tornou um evento político. Sabemos que não é apenas a beleza física que está sendo avaliada, é todo um conjunto.",0
Lula desgraçado,1
Esse é abaixo de estatura e de caráter,1
Haddad sempre!,0
Que vergonha! Que política lixo temos no nosso país! 🤮,1
"Que nojo, é um criminoso!",1
"Quem não está comigo, está contra mim! Quem comigo não ajunta, espalha!",0
"A tá ,a esquerda pode falar que vai incendiar o país e ninguém fala nada.",0
A esquerda pertence ao diabo,1
Melhor coisa do mundo gente imparcial 😍,0
"Não vou perder Eduardo, só assim saberei a verdade. Obrigada",0
Viva argentina !,0
Linda!!,0
"Ficaria surpresa se esse Lixo ficassem a favor do país,",1
Ela tem pena agora pq não tá recebendo mais propinas. Bandida.,1
Mostrou-se Dr honrado &Digno.👏👏👏👏👏👏👏👏👏👏,0
Sao todos um lixo. Vergonha.,1
"Lindos alunos, Deus os abençoe. Futuro do Brasil 🇧🇷🇧🇷🇧🇷💚💖",0
Ministra imagino sua dor . Acredite que sua vitória está cada dia mais perto !,0
BACHELETA DA TRETA E MUTRETA CHILENA..CANALHA SAPATONA.. BICHELETA..,1
Retada!! É isso Benedita!!,0
Enquanto isso o véio do baú dava um show de misoginia e racismo.,1
Antenora te espera.,0
Vermes parasita,1
Fariseu maldito!,1
A rainha das fake News ataca de novo 🤦 @gleisihoffmann,1
Fdpta,1
É uma vergonha,1
@bolsonarosp ...exatamente assim que tem q ser nas escolas...pede pro Capitão colocar isso em vigor ...abraço,0
"Já deu pra globolixo,tá na HR de se aposentar,e deixar o jornalismo pra pessoas q querem da notícias verdadeiras,já nem assisto jornal da globolixo,a tantos anos sendo enganados por notícias mentirosas q cansamos.",1
O governador do Rio também.,0
Como pretos podem votar em Fascistas/racistas? Mais conscientização política. Tá na hora de formar Wakanda 😢,0
"Hoje mesmo, assim que chegar em casa vou abrir uma bem gelada e assistir.",0
"Todos sabem que a mídia é podre, e você mesma já teve seus problemas com a mídia. Agora, todos querem crescer encima desta garota, é óbvio, não é? O que vender mais, estamos anunciando.",1
Filho do diabo,1
Não vou perder essa entrevista por nada!,0
"Pena eu não tenho de vc corrupta, qdo for presa 👊",1
Preocupar com coisas reais e que irao impactar o futuro de todos nos principalmente o deles. Aqui nao eh questao de ideologia direita ou esquerda e sim de sustentabiki,0
"Se essa lei for seria, a #globolixo que se cuide ...",1
Nossa ministra damares ê de Deus orgulho da nação,0
E salário mínimo diminuiu.,0
Bem feito seu rato,1
Deus é maior 🇧🇷 estou com presidente bolsonario🙌🙌🙌🙌🙌,0
Vagabundo criminoso,1
"Grande merdas! Imagina se todo mundo colocasse a metade de uma foto de um bandido pilantra junto a sua, que ridículo seria! Seus desocupados! #ptnuncamais #lulapilantra",1
"Eu já não iria mas, se precisasse do dinheiro, como todos né, não sejamos hipócritas, eu fosse e mesmo se a pergunta não fosse pra minha filha, no mínimo um tapa na cara ele ia levar, depois o processaria por assédio a uma criança😎",1
Segura o velho que ele tá vedado.,1
Deixem seu pai trabalhar em paz 🙌,0
Concordo em grau gênero e número.,0
"Lembrando q o caráter da zambelli não é o mesmo na loyce, é diferente, zambelli tô contigo, Joyce é traíra",1
"Pessoal , vamos nos unir sempre. Kim e MBL são nossos aliados. A esquerda deste país se junta e não têm caráter. Ponto. A direita precisa ser firme. Um ou outro ponto poderá ser divergido. Normal. Conversem. DIREITA sempre. Unidos é que vencemos eles. Kim é um político honesto. Ele só precisa ter maldade. E sair do DEM. Claro",1
O politicamente correto as vezes é muito chato moça.Qual o problema dos concursos de beleza? É só mais um.Porque precisa justificar que gostou da moça negra ganhar?,0
Doente imbecil... que asco desse velho.,1
Dois queridos!❤️,0
Verdade. Só não enxerga quem não quer.✋,0
Seu golpista golpista golpista,1
Menina insuportável,1
Pela alegria nos restaurantes e nos shoppings parece que é bem mais de 60%,0
"Greta Thumberg é mesmo uma pirralha presunçosa, inconveniente e ignorante. Deveria é ir pra escola em vez de cabular aula pra salvar o mundo.",1
Saudades de Haddad,0
Lindíssima 👏👏,0
😂😂😂😂😂😂 jornazista,1
Melhor ministro da educação! 😍,0
"Falso Cristão , nenhuma novidade, com sua dentadura da vaidade...",1
Depois de Prenderlo em Segunda instancia Mudam como Camaleão os segundasinstanciaentendumento dos Bolsonaro Moro colegiados GOLPISTAS,1
ESCROTISSIMO,1
Vamos nos unir.,0
Que Deus a abençoe ministra e lhe dê forças pra continuar fazendo o seu excelente trabalho frente ao ministério.,0
Qual é a lei?,0
Eleição passada foi Livramento! Glórias a Deus!,0
"Parabéns pra ela ,mas o Brasil está incomodando a Europa kkkkkk",0
"GABINETE DO ÓDIO SIM, ódio aos corruptos, ódio aos canalhas, ódio aos que são coniventes com os criminosos da NAÇÃO BRASILEIRA",1
"Bom dia Carla.comentei na sua pagina,sobre está tal de Bachelet,mas escrevi sem apontuação ficou um tanto esquesito,escrevi 👏👏👏 carla musa do psl,ai veio o meu comentario,descupa sou teu fá.",0
Vixe PT vai tudo enjaulado Então.... são fábricas de fake News,1
Não há o que fazer pra reverter??,0
Uma lindeza,0
Bom demais👏👏👏👏👏,0
"Ainda bem, q esses bandidos não estão mais no poder.",1
"Esses lixos estão contra, sinal que é um excelente negócio pro nosso país. Avante Brasil.",1
Que horror!!! Cruzes!!!,1
Vc tá fazendo a diferença no nosso País #SomosTodosDamares,0
Deus está frente do nosso JAIR,0
Perfeita🖤,0
A cara de um PRESIDENTE DE VERDADE!😍❤️🙌,0
Os filhos do nosso Presidente poderiam calar à boca!!!,1
Força e fé meu PRESIDENTE! !!!,0
Janaína até você ????,0
Ele apenas falou a verdade. É uma pirralha mesmo.,1
essa imbecil falando e o cachorro cagando e a mesma coisa,1
Verdade,0
"Canalha, desgraçado",1
Assim cm o Brasil se tornara uma Venezuela? Por que o metodo de governo ja se parece bastante. Ambos ditadores que oprimem adversarios e os dois presidentes acham que as cabecinhas deles so tem ideias geniais. Mas em ambas so tem merda.,1
Cara desomam,0
"Isso é uma realidade da imbecilidade humana, não tem moral prá nada...",1
Quem dera que todos os colégios 🏫 pudessem ser militarizados. 👏👏👏👏👏👏👏👏👏👏👏👏👏,0
Concordo.,0
"Nojo eu tenho de meleca, o q sinto por esse asno não tem nome😡😡😡🤮🤮🤮🤮💩💩💩💩💩",1
Linda e com um discurso poderoso 💟,0
"Gente, na moral, Foda-se as asneiras que esse débil fala. Vamos parar de dar Ibope",1
Lula e o seu marido na cadeia sem vergonha!!,1
VC deveria ser o presidente!,0
"MEU DEUS É TUDO QUE A ESQUERDA QUER,... PARA DE FALAR MERDA FALA O QUE DEVE SER DITO AJUDA O PAI!!!!!...... E NAO A FUDER COM TUDO CARAÍ.. DA RAIVA.....",1
"Só não entendo porque têm tto robô que defendem esse desgoverno atual na tua página,será que é para testar tua paciência ou porque não são alfabetizados.?? Têm que bloquear esses eleitores acéfalos que só faz defender milicianos.",1
Queremos Lula livre já 🙌👏,0
Lugar de ladrão é na cadeia Lula bandido,1
Essa entrevista aqui é que vale a pena kkk @g9paes,0
Esse verme tem que voltar prá cadeia!!!,1
"💗💗 Parabéns, muito merecido! 🙌☀️",0
Arrasou com o Chile agora o Chile está com crescimento lá em cima ainda quer dar pitaco aqui,0
Lindos que todos abençoados e protegidos de todo mal em nome de Jesus amém🙌🏻🙏🏻🌹✨✨✨,0
"Salve, Ricardo Coutinho! O melhor governador da história da Paraíba!!!",0
"Isso já está casando , sempre as mesmas notícias ,as mesmas coisas ,esse povo não faz nada de bom , e não tem como tirar eles de lá ,complicado essa situação que estamos 😠",0
Véio caduco não pode ser preso.,1
"Ele desrespeita o país de Norte a Sul. Ponham este homem pra fora. Ele não é, nunca foi e nem será digno do posto que ocupa.",1
Tem que voltar para a cadeia ir para a cela e perder a chave.,1
Nele até agora o Brasil pode confiar!! 🇧🇷🇧🇷🇧🇷,0
Mano o Haddad parece um rato kkkk,1
Lindíssima. ❤️❤️❤️,0
Porquê ela é uma velha escrota de MERDA.. só isso,1
Benedita é uma grande voz que representa o povo. Escutem essa mulher!👏🏿👏🏿👏🏿👏🏿✊🏾,0
Nunca duvidei. E avisei demais,0
Meu presidente 😅😅😅😅 presidente do caralho à 4. Bando de idiotas. Idiotas úteis,1
Se ficassem calados ajudaria mais ao Presidente,0
